fips,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share
01001,58761,98.85,68315,0.0277,0.2956,0.012
01003,233420,146.82,71039,0.0344,0.3256,0.0154
01005,24877,28.11,39712,0.0575,0.1188,0.0563
01007,22251,35.75,50669,0.0871,0.1092,0.0404
01009,59077,91.61,57440,0.0597,0.1474,0.0187
01011,10328,16.58,36136,0.037,0.0938,0.0339
01013,18981,24.43,44429,0.0681,0.1305,0.0335
01015,116162,191.72,54339,0.0695,0.1915,0.0089
01017,34612,58.02,48805,0.0358,0.1273,0.0177
01019,25069,45.29,46621,0.0397,0.1459,0.0217
01021,45140,65.15,62471,0.053,0.1397,0.0259
01023,12669,13.87,43299,0.0521,0.1305,0.0448
01025,23058,18.62,47549,0.1246,0.1377,0.0408
01027,14209,23.53,48074,0.0575,0.1276,0.035
01029,15144,27.04,51553,0.026,0.1649,0.0285
01031,53559,78.88,62199,0.0478,0.2161,0.0242
01033,57270,96.58,56149,0.0341,0.1804,0.0203
01035,11576,13.61,39888,0.0435,0.1331,0.0354
01037,10329,15.87,52279,0.044,0.1063,0.0447
01039,37542,36.43,48772,0.0549,0.1631,0.0457
01041,13205,21.69,48557,0.0608,0.172,0.0425
01043,88284,120.16,58119,0.0434,0.183,0.0189
01045,49455,88.14,52813,0.0777,0.1916,0.0238
01047,38326,39.16,37180,0.0914,0.1569,0.0136
01049,71680,92.24,47920,0.0392,0.1415,0.0244
01051,87694,141.78,73258,0.0415,0.2416,0.0099
01053,36755,38.88,41153,0.092,0.1256,0.0353
01055,103348,193.14,52177,0.0601,0.1772,0.0081
01057,16297,25.96,45650,0.0964,0.13,0.0179
01059,32011,50.5,47359,0.0383,0.1483,0.017
01061,26647,46.38,47608,0.0386,0.1391,0.03
01063,7706,11.91,32796,0.045,0.1672,0.0166
01065,14742,22.89,35851,0.0765,0.1637,0.0342
01067,17282,30.76,58395,0.0533,0.2096,0.032
01069,107040,184.61,55064,0.0499,0.2246,0.0102
01071,52618,48.81,46748,0.0604,0.1619,0.0123
01073,672265,604.81,63595,0.0539,0.3557,0.0055
01075,13885,22.96,49565,0.0501,0.1024,0.0251
01077,94329,141.21,56081,0.0362,0.2583,0.0092
