state,state_fips,electricity_price_cents_kwh
AK,02,24.39
AL,01,13.3
AR,05,11.36
AZ,04,13.16
CA,06,27.44
CO,08,14.3
CT,09,25.39
DC,11,13.4
DE,10,14.02
FL,12,13.68
GA,13,13.02
HI,15,39.53
IA,19,13.46
ID,16,10.58
IL,17,13.85
IN,18,13.59
KS,20,13.57
KY,21,11.57
LA,22,11.11
MA,25,25.62
MD,24,14.63
ME,23,22.07
MI,26,17.58
MN,27,14.07
MO,29,12.58
MS,28,12.32
MT,30,12.24
NC,37,12.14
ND,38,11.51
NE,31,11.56
NH,33,22.57
NJ,34,17.23
NM,35,13.57
NV,32,12.75
NY,36,19.3
OH,39,13.34
OK,40,11.36
OR,41,12.06
PA,42,14.59
RI,44,24.01
SC,45,13.05
SD,46,13.1
TN,47,12.03
TX,48,12.59
UT,49,11.18
VA,51,12.58
VT,50,19.52
WA,53,10.46
WI,55,15.23
WV,54,12.04
WY,56,11.18
