fips,dc_employment,dc_employment_growth
01001,16,1.6667
01003,138,1.5091
01005,0,
01007,0,
01009,5,
01015,49,7.1667
01017,12,
01021,10,
01023,0,
01027,0,
01029,0,
01031,6,0.2
01033,29,8.6667
01035,0,
01037,0,
01043,8,1.0
01045,12,
01047,0,
01049,12,2.0
01051,8,
01053,0,
01055,5,0.6667
01061,0,
01065,0,
01067,0,
01069,23,2.2857
01071,20,2.3333
01073,872,0.3997
01077,410,40.0
01081,279,0.8851
01083,17,1.8333
01089,398,0.6245
01091,0,
01093,0,
01095,31,0.9375
01097,540,3.6154
01101,300,-0.3213
01103,46,0.5862
01109,4,
01113,28,6.0
01115,32,9.6667
01117,232,0.771
01119,0,
01121,24,5.0
01123,7,1.3333
01125,243,0.5478
01127,8,1.6667
01131,6,0.5
01133,0,
04001,0,
04003,42,0.4
04005,73,23.3333
04007,11,0.5714
04013,11132,0.1655
04015,88,16.6
04019,417,0.7821
04021,34,7.5
04025,12,1.4
04027,6,-0.3333
05001,8,
05003,5,
05005,14,0.75
05007,338,0.7979
05009,5,
05013,3,
05015,0,
05019,4,0.3333
05021,0,
05023,11,1.75
05029,8,0.6
05031,52,1.8889
05033,3,-0.4
05035,7,-0.5882
05037,0,
05039,0,
05041,4,
05043,5,-0.1667
05045,1506,-0.1399
05047,0,
05049,3,
05051,223,0.1737
05053,4,0.0
05055,40,0.8182
05057,19,0.7273
05059,0,
05061,7,0.4
05063,9,1.25
05065,59,10.8
05067,0,
05069,3,
05071,0,
05073,0,
05081,0,
05083,0,
05085,9,0.8
05087,18,0.125
05089,5,
05091,74,8.25
05093,16,-0.3043
05103,3,-0.25
05105,0,
05111,10,1.0
05113,3,
05115,39,3.875
05117,0,
05119,682,0.5787
05121,0,
05123,3,0.0
05125,18,0.3846
05127,0,
05129,3,0.0
05131,735,0.5031
05133,0,
05137,0,
05139,5,
05141,0,
05143,316,1.5079
05145,6,1.0
05147,0,
05149,6,0.5
06001,6927,0.0199
06005,23,3.6
06007,76,-0.0952
06009,0,
06013,512,0.161
06015,0,
06017,171,0.9432
06019,100,-0.4764
06023,0,
06025,0,
06027,0,
06029,42,-0.9228
06031,0,-1.0
06033,0,
06037,11700,0.1361
06039,4,0.3333
06041,160,0.7978
06045,9,-0.1
06047,8,1.6667
06051,0,
06053,34,0.5455
06055,34,-0.15
06057,18,0.2
06059,8426,2.2458
06061,123,0.3226
06065,669,0.8229
06067,1424,-0.0253
06069,0,
06071,2933,87.8788
06073,2739,0.0152
06075,17847,0.2397
06077,36,3.0
06079,36,-0.5443
06081,6158,0.4792
06083,422,0.9628
06085,13482,0.738
06087,42,0.8261
06089,30,1.0
06095,118,0.2292
06097,134,0.5765
06099,49,0.1395
06101,3,
06107,15,4.0
06109,0,
06111,241,-0.693
06113,35,0.25
