fips,water_stress_decile
01001,5
01003,2
01005,4
01007,8
01009,7
01011,5
01013,3
01015,4
01017,6
01019,4
01021,5
01023,2
01025,1
01027,6
01029,6
01031,5
01033,3
01035,3
01037,5
01039,3
01041,3
01043,5
01045,5
01047,4
01049,3
01051,6
01053,3
01055,5
01057,5
01059,3
01061,5
01063,4
01065,3
01067,3
01069,4
01071,3
01073,6
01075,4
01077,3
01079,3
01081,6
01083,3
01085,4
01087,7
01089,3
01091,2
01093,4
01095,3
01097,5
01099,1
01101,5
01103,3
01105,6
01107,4
01109,4
01111,7
01113,3
01115,5
01117,6
01119,8
01121,4
01123,7
01125,4
01127,6
01129,4
01131,1
01133,5
02013,1
02016,1
02020,2
02050,1
02060,1
02063,1
02066,1
02068,1
02070,1
02090,4
02100,1
02105,1
02110,1
02122,1
02130,1
02150,1
02158,1
02164,1
02170,1
02180,1
02185,9
02188,1
02195,1
02198,1
02220,1
02230,1
02240,1
02275,1
02282,1
02290,5
04001,10
04003,10
04005,9
04007,8
04009,10
04011,9
04012,9
04013,10
04015,9
04017,10
04019,10
04021,10
04023,10
04025,10
04027,9
05001,8
05003,4
05005,6
05007,6
05009,8
05011,4
05013,5
05015,8
05017,5
05019,5
05021,10
05023,4
05025,3
05027,8
05029,1
05031,10
05033,1
05035,9
05037,10
05039,5
05041,3
05043,4
05045,2
05047,2
05049,9
05051,4
05053,3
05055,10
05057,5
05059,4
05061,2
05063,6
05065,7
05067,9
05069,4
05071,1
05073,8
05075,9
05077,9
05079,4
05081,2
05083,2
05085,8
05087,8
05089,8
05091,3
05093,9
05095,8
05097,5
05099,7
05101,8
05103,5
05105,1
05107,2
05109,5
05111,10
05113,3
05115,1
05117,8
05119,5
05121,9
05123,9
05125,3
05127,2
05129,8
05131,2
05133,1
05135,9
05137,3
05139,4
05141,3
05143,5
05145,5
05147,10
05149,2
06001,6
06003,10
06005,4
06007,7
06009,8
06011,9
06013,8
06015,1
06017,6
06019,10
06021,8
06023,3
06025,10
06027,10
06029,10
06031,10
06033,4
06035,10
06037,10
06039,10
06041,7
06043,10
06045,5
06047,10
06049,10
06051,8
06053,10
06055,6
06057,5
06059,10
06061,6
06063,5
06065,10
06067,5
06069,10
06071,10
06073,10
06075,5
06077,9
06079,10
06081,5
06083,10
06085,5
06087,5
06089,5
06091,6
06093,9
06095,6
06097,7
06099,9
06101,6
06103,4
06105,1
06107,10
06109,8
06111,10
06113,7
06115,4
08001,10
08003,9
08005,10
08007,4
08009,10
08011,9
08013,10
08014,10
08015,9
08017,10
08019,10
08021,5
08023,6
08025,9
08027,9
08029,6
08031,10
08033,4
08035,10
08037,3
08039,10
08041,9
08043,9
08045,3
08047,10
08049,4
08051,6
08053,6
08055,9
08057,8
08059,10
08061,10
08063,10
08065,9
08067,6
08069,10
08071,9
08073,10
08075,10
08077,3
08079,6
08081,4
08083,7
08085,5
08087,10
08089,9
08091,6
08093,10
08095,10
08097,4
08099,10
08101,9
08103,4
08105,8
08107,4
08109,9
08111,7
08113,3
08115,10
08117,4
08119,10
08121,10
08123,10
08125,10
09110,4
09120,2
09130,4
09140,3
09150,6
09160,3
09170,2
09180,5
09190,2
10001,8
10003,8
10005,9
11001,3
12001,8
12003,5
12005,3
12007,7
12009,9
12011,8
12013,4
12015,8
12017,8
12019,9
12021,5
12023,7
12027,7
12029,7
12031,8
12033,4
12035,9
12037,6
12039,6
12041,7
12043,7
12045,2
12047,7
12049,7
12051,6
12053,8
12055,7
12057,9
12059,5
12061,9
12063,4
12065,7
12067,7
12069,9
12071,6
12073,7
12075,5
12077,5
12079,7
12081,9
12083,9
12085,8
12086,5
12087,5
12089,4
12091,3
12093,8
12095,8
12097,8
12099,8
12101,8
12103,9
12105,8
12107,9
12109,9
12111,9
12113,3
12115,9
12117,9
12119,8
12121,7
12123,7
12125,7
12127,9
12129,7
12131,4
12133,4
13001,3
13003,5
13005,4
13007,4
13009,5
13011,8
13013,5
13015,8
13017,6
13019,7
13021,6
13023,6
13025,4
13027,7
13029,3
13031,3
13033,6
13035,7
13037,4
13039,4
13043,3
13045,7
13047,3
13049,5
13051,4
13053,2
13055,5
13057,9
13059,5
13061,2
13063,7
13065,7
13067,8
13069,4
13071,7
13073,8
13075,7
13077,5
13079,5
13081,5
13083,3
13085,9
13087,4
13089,8
13091,6
13093,5
13095,4
13097,6
13099,3
13101,7
13103,6
13105,8
13107,4
13109,3
13111,3
13113,4
13115,7
13117,8
13119,8
13121,6
13123,6
13125,3
13127,3
13129,6
13131,6
13133,5
13135,7
13137,6
13139,6
13141,5
13143,7
13145,6
13147,8
13149,6
13151,8
13153,6
13155,7
13157,5
13159,6
13161,4
13163,4
13165,3
13167,5
13169,6
13171,6
13173,7
13175,5
13177,4
13179,3
13181,8
13183,2
13185,7
13187,8
13189,8
13191,3
13193,4
13195,7
13197,3
13199,4
13201,4
13205,4
13207,6
13209,4
13211,5
13213,6
13215,4
13217,8
13219,5
13221,7
13223,8
13225,6
13227,8
13229,4
13231,4
13233,7
13235,6
13237,5
13239,1
13241,7
13243,3
13245,8
13247,8
13249,4
13251,6
13253,3
13255,5
13257,8
13259,2
13261,4
13263,3
13265,6
13267,4
13269,4
13271,6
13273,4
13275,7
13277,7
13279,4
13281,2
13283,5
13285,6
13287,7
13289,6
13291,2
13293,4
13295,4
13297,6
13299,6
13301,5
13303,5
13305,2
13307,4
13309,6
13311,6
13313,6
13315,7
13317,8
13319,5
13321,6
15001,1
15003,1
15005,1
15007,1
15009,1
16001,9
16003,8
16005,10
16007,8
16009,5
16011,10
16013,9
16015,9
16017,1
16019,8
16021,1
16023,10
16025,9
16027,9
16029,9
16031,10
16033,10
16035,1
16037,10
16039,9
16041,8
16043,9
16045,9
16047,9
16049,3
16051,10
16053,10
16055,5
16057,2
16059,10
16061,1
16063,10
16065,8
16067,10
16069,1
16071,9
16073,6
16075,8
16077,10
16079,5
16081,8
16083,9
16085,9
16087,8
17001,1
17003,1
17005,6
17007,9
17009,2
17011,6
17013,2
17015,6
17017,3
17019,5
17021,3
17023,5
17025,4
17027,6
17029,6
17031,8
17033,5
17035,6
17037,9
17039,3
17041,6
17043,8
17045,5
17047,3
17049,4
17051,6
17053,5
17055,7
17057,5
17059,2
17061,2
17063,8
17065,3
17067,2
17069,1
17071,2
17073,8
17075,8
17077,6
17079,5
17081,6
17083,4
17085,3
17087,1
17089,9
17091,8
17093,9
17095,5
17097,9
17099,8
17101,5
17103,8
17105,6
17107,3
17109,2
17111,9
17113,4
17115,3
17117,4
17119,6
17121,5
17123,4
17125,3
17127,1
17129,3
17131,2
17133,3
17135,6
17137,2
17139,6
17141,9
17143,5
17145,7
17147,5
17149,1
17151,1
17153,1
17155,4
17157,4
17159,4
17161,7
17163,5
17165,1
17167,3
17169,1
17171,2
17173,6
17175,5
17177,9
17179,4
17181,2
17183,5
17185,1
17187,3
17189,6
17191,4
17193,3
17195,8
17197,8
17199,6
17201,9
17203,4
18001,3
18003,3
18005,7
18007,6
18009,7
18011,6
18013,7
18015,6
18017,6
18019,2
18021,7
18023,5
18025,2
18027,7
18029,3
18031,7
18033,1
18035,7
18037,3
18039,2
18041,7
18043,2
18045,5
18047,7
18049,3
18051,2
18053,7
18055,7
18057,7
18059,7
18061,2
18063,7
18065,7
18067,5
18069,7
18071,7
18073,8
18075,7
18077,5
18079,7
18081,7
18083,5
18085,4
18087,1
18089,9
18091,9
18093,7
18095,7
18097,7
18099,8
18101,7
18103,6
18105,7
18107,5
18109,7
18111,8
18113,2
18115,1
18117,6
18119,7
18121,5
18123,2
18125,4
18127,9
18129,1
18131,3
18133,7
18135,7
18137,4
18139,7
18141,8
18143,7
18145,7
18147,2
18149,9
18151,1
18153,5
18155,1
18157,5
18159,6
18161,7
18163,1
18165,5
18167,5
18169,7
18171,5
18173,1
18175,5
18177,7
18179,6
18181,3
18183,6
19001,4
19003,4
19005,3
19007,1
19009,6
19011,5
19013,4
19015,3
19017,3
19019,3
19021,4
19023,5
19025,4
19027,5
19029,6
19031,4
19033,6
19035,2
19037,3
19039,2
19041,2
19043,3
19045,2
19047,3
19049,4
19051,1
19053,3
19055,2
19057,2
19059,3
19061,2
19063,5
19065,2
19067,4
19069,7
19071,5
19073,4
19075,5
19077,4
19079,4
19081,7
19083,7
19085,2
19087,2
19089,3
19091,5
19093,2
19095,7
19097,2
19099,2
19101,2
19103,7
19105,3
19107,3
19109,6
19111,2
19113,4
19115,2
19117,1
19119,8
19121,3
19123,2
19125,1
19127,6
19129,5
19131,4
19133,2
19135,1
19137,5
19139,4
19141,2
19143,6
19145,4
19147,5
19149,5
19151,4
19153,3
19155,5
19157,6
19159,3
19161,3
19163,3
19165,5
19167,6
19169,3
19171,6
19173,2
19175,3
19177,1
19179,1
19181,2
19183,4
19185,2
19187,3
19189,7
19191,3
19193,2
19195,8
19197,6
20001,2
20003,4
20005,3
20007,8
20009,8
20011,4
20013,4
20015,6
20017,3
20019,4
20021,3
20023,10
20025,9
20027,9
20029,9
20031,2
20033,8
20035,6
20037,3
20039,10
20041,10
20043,1
20045,4
20047,10
20049,4
20051,10
20053,10
20055,10
20057,10
20059,4
20061,8
20063,10
20065,10
20067,10
20069,10
20071,10
20073,4
20075,10
20077,8
20079,6
20081,10
20083,10
20085,4
20087,4
20089,9
20091,3
20093,10
20095,8
20097,8
20099,3
20101,10
20103,3
20105,10
20107,4
20109,10
20111,3
20113,9
20115,5
20117,10
20119,10
20121,4
20123,10
20125,4
20127,4
20129,10
20131,8
20133,2
20135,10
20137,10
20139,4
20141,10
20143,10
20145,10
20147,10
20149,9
20151,7
20153,10
20155,6
20157,9
20159,7
20161,9
20163,10
20165,9
20167,10
20169,10
20171,10
20173,6
20175,10
20177,4
20179,10
20181,10
20183,10
20185,6
20187,10
20189,10
20191,8
20193,10
20195,10
20197,4
20199,10
20201,10
20203,10
20205,4
20207,3
20209,3
21001,5
21003,5
21005,3
21007,1
21009,5
21011,2
21013,5
21015,1
21017,2
21019,7
21021,4
21023,2
21025,6
21027,3
21029,2
21031,5
21033,1
21035,1
21037,2
21039,1
21041,4
21043,7
21045,5
21047,5
21049,5
21051,6
21053,5
21055,1
21057,5
21059,4
21061,5
21063,7
21065,6
21067,6
21069,2
21071,7
21073,6
21075,2
21077,3
21079,6
21081,5
21083,2
21085,5
21087,5
21089,7
21091,2
21093,4
21095,5
21097,2
21099,5
21101,3
21103,5
21105,1
21107,3
21109,6
21111,2
21113,6
21115,7
21117,2
21119,6
21121,5
21123,4
21125,5
21127,7
21129,6
21131,6
21133,6
21135,2
21137,6
21139,1
21141,8
21143,1
21145,1
21147,3
21149,5
21151,6
21153,3
21155,2
21157,1
21159,7
21161,2
21163,2
21165,4
21167,3
21169,5
21171,5
21173,3
21175,3
21177,5
21179,2
21181,2
21183,5
21185,2
21187,6
21189,6
21191,2
21193,6
21195,7
21197,6
21199,5
21201,2
21203,5
21205,2
21207,5
21209,6
21211,3
21213,7
21215,2
21217,5
21219,8
21221,1
21223,2
21225,1
21227,5
21229,2
21231,4
21233,3
21235,5
21237,6
21239,6
22001,8
22003,7
22005,5
22007,1
22009,1
22011,6
22013,6
22015,9
22017,2
22019,6
22021,4
22023,5
22025,2
22027,6
22029,1
22031,4
22033,5
22035,1
22037,5
22039,6
22041,6
22043,1
22045,1
22047,1
22049,1
22051,3
22053,8
22055,5
22057,1
22059,1
22061,3
22063,6
22065,1
22067,6
22069,3
22071,4
22073,5
22075,1
22077,1
22079,3
22081,5
22083,7
22085,6
22087,1
22089,2
22091,6
22093,2
22095,5
22097,3
22099,1
22101,1
22103,6
22105,6
22107,1
22109,1
22111,4
22113,2
22115,6
22117,7
22119,9
22121,1
22123,6
22125,1
22127,2
23001,2
23003,1
23005,3
23007,2
23009,1
23011,2
23013,2
23015,2
23017,2
23019,1
23021,1
23023,2
23025,2
23027,2
23029,1
23031,2
24001,5
24003,3
24005,3
24009,3
24011,8
24013,8
24015,5
24017,3
24019,8
24021,8
24023,6
24025,3
24027,3
24029,6
24031,4
24033,3
24035,6
24037,3
24039,8
24041,6
24043,7
24045,9
24047,8
24510,3
25001,6
25003,3
25005,6
25007,6
25009,5
25011,4
25013,4
25015,4
25017,5
25019,6
25021,6
25023,5
25025,6
25027,5
26001,1
26003,1
26005,7
26007,1
26009,2
26011,6
26013,1
26015,4
26017,6
26019,4
26021,5
26023,1
26025,6
26027,1
26029,2
26031,2
26033,1
26035,7
26037,1
26039,1
26041,1
26043,1
26045,3
26047,2
26049,9
26051,8
26053,1
26055,2
26057,8
26059,3
26061,1
26063,3
26065,2
26067,1
26069,4
26071,2
26073,9
26075,3
26077,5
26079,1
26081,1
26083,1
26085,2
26087,9
26089,4
26091,1
26093,9
26095,1
26097,2
26099,4
26101,2
26103,1
26105,4
26107,5
26109,1
26111,8
26113,2
26115,2
26117,1
26119,1
