fips,approval_prob,beta_alpha,beta_beta
01001,0.5228,20.91,19.09
01003,0.4533,18.13,21.87
01005,0.5157,20.63,19.37
01007,0.4371,17.48,22.52
01009,0.4371,17.48,22.52
01011,0.4329,17.32,22.68
01013,0.4322,17.29,22.71
01015,0.4518,18.07,21.93
01017,0.3616,14.46,25.54
01019,0.359,14.36,25.64
01021,0.4358,17.43,22.57
01023,0.4305,17.22,22.78
01025,0.4923,19.69,20.31
01027,0.4371,17.48,22.52
01029,0.365,14.6,25.4
01031,0.3819,15.28,24.72
01033,0.3319,13.28,26.72
01035,0.4259,17.04,22.96
01037,0.3664,14.66,25.34
01039,0.4352,17.41,22.59
01041,0.4352,17.41,22.59
01043,0.3301,13.2,26.8
01045,0.4358,17.43,22.57
01047,0.5581,22.32,17.68
01049,0.3332,13.33,26.67
01051,0.523,20.92,19.08
01053,0.4352,17.41,22.59
01055,0.45,18.0,22.0
01057,0.4367,17.47,22.53
01059,0.3704,14.82,25.18
01061,0.3614,14.46,25.54
01063,0.4432,17.73,22.27
01065,0.5157,20.63,19.37
01067,0.4352,17.41,22.59
01069,0.4803,19.21,20.79
01071,0.4557,18.23,21.77
01073,0.3773,15.09,24.91
01075,0.4352,17.41,22.59
01077,0.4294,17.17,22.83
01079,0.359,14.36,25.64
01081,0.3682,14.73,25.27
01083,0.3838,15.35,24.65
01085,0.5157,20.63,19.37
01087,0.5184,20.73,19.27
01089,0.4273,17.09,22.91
01091,0.4315,17.26,22.74
01093,0.4352,17.41,22.59
01095,0.3481,13.93,26.07
01097,0.492,19.68,20.32
01099,0.4322,17.29,22.71
01101,0.5502,22.01,17.99
01103,0.3365,13.46,26.54
01105,0.5184,20.73,19.27
01107,0.4305,17.22,22.78
01109,0.5563,22.25,17.75
01111,0.3656,14.62,25.38
01113,0.5386,21.54,18.46
01115,0.4276,17.11,22.89
01117,0.3421,13.68,26.32
01119,0.5197,20.79,19.21
01121,0.3816,15.27,24.73
01123,0.4771,19.08,20.92
01125,0.5192,20.77,19.23
01127,0.3865,15.46,24.54
01129,0.4352,17.41,22.59
01131,0.454,18.16,21.84
01133,0.4525,18.1,21.9
02013,0.44,17.6,22.4
02016,0.44,17.6,22.4
02020,0.44,17.6,22.4
02050,0.44,17.6,22.4
02060,0.44,17.6,22.4
02063,0.44,17.6,22.4
02066,0.44,17.6,22.4
02068,0.44,17.6,22.4
02070,0.44,17.6,22.4
02090,0.44,17.6,22.4
02100,0.44,17.6,22.4
02105,0.44,17.6,22.4
02110,0.44,17.6,22.4
02122,0.44,17.6,22.4
02130,0.44,17.6,22.4
02150,0.44,17.6,22.4
02158,0.44,17.6,22.4
02164,0.44,17.6,22.4
02170,0.44,17.6,22.4
02180,0.44,17.6,22.4
02185,0.44,17.6,22.4
02188,0.44,17.6,22.4
02195,0.44,17.6,22.4
02198,0.44,17.6,22.4
02220,0.44,17.6,22.4
02230,0.44,17.6,22.4
02240,0.44,17.6,22.4
02261,0.44,17.6,22.4
02275,0.44,17.6,22.4
02282,0.44,17.6,22.4
02290,0.44,17.6,22.4
04001,0.4857,19.43,20.57
04003,0.439,17.56,22.44
04005,0.4635,18.54,21.46
04007,0.4088,16.35,23.65
04009,0.4383,17.53,22.47
04011,0.4236,16.94,23.06
04012,0.4383,17.53,22.47
04013,0.4431,17.72,22.28
04015,0.4152,16.61,23.39
04017,0.4743,18.97,21.03
04019,0.4133,16.53,23.47
04021,0.3944,15.78,24.22
04023,0.4857,19.43,20.57
04025,0.443,17.72,22.28
04027,0.4241,16.97,23.03
05001,0.4777,19.11,20.89
05003,0.4671,18.68,21.32
05005,0.4959,19.84,20.16
05007,0.4361,17.44,22.56
05009,0.4324,17.3,22.7
05011,0.4671,18.68,21.32
05013,0.472,18.88,21.12
05015,0.4234,16.94,23.06
05017,0.5011,20.04,19.96
05019,0.442,17.68,22.32
05021,0.4777,19.11,20.89
05023,0.4452,17.81,22.19
05025,0.4194,16.78,23.22
05027,0.4272,17.09,22.91
05029,0.4439,17.76,22.24
05031,0.4827,19.31,20.69
05033,0.4861,19.44,20.56
05035,0.4964,19.85,20.15
05037,0.4777,19.11,20.89
05039,0.4601,18.4,21.6
05041,0.5,20.0,20.0
05043,0.4389,17.56,22.44
05045,0.4941,19.76,20.24
05047,0.4671,18.68,21.32
05049,0.4272,17.09,22.91
05051,0.4538,18.15,21.85
05053,0.4422,17.69,22.31
05055,0.4436,17.75,22.25
05057,0.4032,16.13,23.87
05059,0.4883,19.53,20.47
05061,0.4439,17.76,22.24
05063,0.4462,17.85,22.15
05065,0.4375,17.5,22.5
05067,0.4777,19.11,20.89
05069,0.5011,20.04,19.96
05071,0.4057,16.23,23.77
05073,0.4777,19.11,20.89
05075,0.4777,19.11,20.89
05077,0.5023,20.09,19.91
05079,0.4194,16.78,23.22
05081,0.4671,18.68,21.32
05083,0.4671,18.68,21.32
05085,0.4156,16.62,23.38
05087,0.4449,17.8,22.2
05089,0.4872,19.49,20.51
05091,0.441,17.64,22.36
05093,0.4734,18.93,21.07
05095,0.5023,20.09,19.91
05097,0.472,18.88,21.12
05099,0.4777,19.11,20.89
05101,0.4272,17.09,22.91
05103,0.4976,19.9,20.1
05105,0.4217,16.87,23.13
05107,0.5,20.0,20.0
05109,0.4228,16.91,23.09
05111,0.4462,17.85,22.15
05113,0.4671,18.68,21.32
05115,0.4434,17.74,22.26
05117,0.4272,17.09,22.91
05119,0.4871,19.48,20.52
05121,0.4777,19.11,20.89
05123,0.5023,20.09,19.91
05125,0.4992,19.97,20.03
05127,0.4671,18.68,21.32
05129,0.4777,19.11,20.89
05131,0.4098,16.39,23.61
05133,0.4217,16.87,23.13
05135,0.4777,19.11,20.89
05137,0.4671,18.68,21.32
05139,0.4194,16.78,23.22
05141,0.4671,18.68,21.32
05143,0.498,19.92,20.08
05145,0.4466,17.86,22.14
05147,0.4734,18.93,21.07
05149,0.4,16.0,24.0
06001,0.4285,17.14,22.86
06003,0.4482,17.93,22.07
06005,0.3666,14.67,25.33
06007,0.4382,17.53,22.47
06009,0.3488,13.95,26.05
06011,0.3944,15.77,24.23
06013,0.377,15.08,24.92
06015,0.4254,17.01,22.99
06017,0.3286,13.14,26.86
06019,0.3836,15.34,24.66
06021,0.3634,14.54,25.46
06023,0.518,20.72,19.28
06025,0.3405,13.62,26.38
06027,0.5551,22.2,17.8
06029,0.3308,13.23,26.77
06031,0.3753,15.01,24.99
06033,0.4254,17.01,22.99
06035,0.3634,14.54,25.46
06037,0.3286,13.14,26.86
06039,0.367,14.68,25.32
06041,0.4312,17.25,22.75
06043,0.4307,17.23,22.77
06045,0.4316,17.27,22.73
06047,0.367,14.68,25.32
06049,0.3657,14.63,25.37
06051,0.4361,17.45,22.55
06053,0.3821,15.28,24.72
06055,0.4528,18.11,21.89
06057,0.4565,18.26,21.74
06059,0.3785,15.14,24.86
06061,0.3317,13.27,26.73
06063,0.4512,18.05,21.95
06065,0.3679,14.71,25.29
06067,0.4411,17.64,22.36
06069,0.3781,15.12,24.88
06071,0.3486,13.94,26.06
06073,0.4285,17.14,22.86
06075,0.3788,15.15,24.85
06077,0.3399,13.6,26.4
06079,0.4338,17.35,22.65
06081,0.3286,13.14,26.86
06083,0.3476,13.9,26.1
06085,0.3286,13.14,26.86
06087,0.3699,14.8,25.2
06089,0.3414,13.65,26.35
06091,0.3541,14.16,25.84
06093,0.4298,17.19,22.81
06095,0.4338,17.35,22.65
06097,0.3468,13.87,26.13
06099,0.3915,15.66,24.34
06101,0.4314,17.26,22.74
06103,0.3568,14.27,25.73
06105,0.4254,17.01,22.99
06107,0.3286,13.14,26.86
06109,0.3999,16.0,24.0
06111,0.3789,15.15,24.85
06113,0.3912,15.65,24.35
06115,0.3286,13.14,26.86
08001,0.44,17.6,22.4
08003,0.44,17.6,22.4
08005,0.44,17.6,22.4
08007,0.44,17.6,22.4
08009,0.44,17.6,22.4
08011,0.44,17.6,22.4
08013,0.44,17.6,22.4
08014,0.44,17.6,22.4
08015,0.44,17.6,22.4
08017,0.44,17.6,22.4
08019,0.44,17.6,22.4
08021,0.44,17.6,22.4
08023,0.44,17.6,22.4
08025,0.44,17.6,22.4
08027,0.44,17.6,22.4
08029,0.44,17.6,22.4
08031,0.44,17.6,22.4
08033,0.44,17.6,22.4
08035,0.44,17.6,22.4
08037,0.44,17.6,22.4
08039,0.44,17.6,22.4
08041,0.44,17.6,22.4
08043,0.44,17.6,22.4
08045,0.44,17.6,22.4
08047,0.44,17.6,22.4
08049,0.44,17.6,22.4
08051,0.44,17.6,22.4
08053,0.44,17.6,22.4
08055,0.44,17.6,22.4
08057,0.44,17.6,22.4
08059,0.44,17.6,22.4
08061,0.44,17.6,22.4
08063,0.44,17.6,22.4
08065,0.44,17.6,22.4
08067,0.44,17.6,22.4
08069,0.44,17.6,22.4
08071,0.44,17.6,22.4
08073,0.44,17.6,22.4
08075,0.44,17.6,22.4
08077,0.44,17.6,22.4
08079,0.44,17.6,22.4
08081,0.44,17.6,22.4
08083,0.44,17.6,22.4
08085,0.44,17.6,22.4
08087,0.44,17.6,22.4
08089,0.44,17.6,22.4
08091,0.44,17.6,22.4
08093,0.44,17.6,22.4
08095,0.44,17.6,22.4
08097,0.44,17.6,22.4
08099,0.44,17.6,22.4
08101,0.44,17.6,22.4
08103,0.44,17.6,22.4
08105,0.44,17.6,22.4
08107,0.44,17.6,22.4
08109,0.44,17.6,22.4
08111,0.44,17.6,22.4
08113,0.44,17.6,22.4
08115,0.44,17.6,22.4
08117,0.44,17.6,22.4
08119,0.44,17.6,22.4
08121,0.44,17.6,22.4
08123,0.44,17.6,22.4
08125,0.44,17.6,22.4
09011,0.44,17.6,22.4
09110,0.44,17.6,22.4
09120,0.44,17.6,22.4
09130,0.44,17.6,22.4
09140,0.44,17.6,22.4
09150,0.44,17.6,22.4
09160,0.44,17.6,22.4
09170,0.44,17.6,22.4
09180,0.44,17.6,22.4
09190,0.44,17.6,22.4
10001,0.44,17.6,22.4
10003,0.44,17.6,22.4
10005,0.44,17.6,22.4
11001,0.44,17.6,22.4
11002,0.44,17.6,22.4
11003,0.44,17.6,22.4
11004,0.44,17.6,22.4
11005,0.44,17.6,22.4
11006,0.44,17.6,22.4
