fips,approval_prob,beta_alpha,beta_beta
01071,0.4954,19.82,20.18
01073,0.4223,16.89,23.11
01101,0.5497,21.99,18.01
01121,0.43,17.2,22.8
04005,0.4885,19.54,20.46
04013,0.4633,18.53,21.47
04019,0.4426,17.7,22.3
04021,0.4238,16.95,23.05
05035,0.5008,20.03,19.97
05071,0.4332,17.33,22.67
05119,0.493,19.72,20.28
06025,0.3846,15.38,24.62
06037,0.3613,14.45,25.55
06085,0.3425,13.7,26.3
08123,0.44,17.6,22.4
09011,0.44,17.6,22.4
10003,0.44,17.6,22.4
12099,0.4755,19.02,20.98
12105,0.3912,15.65,24.35
12111,0.399,15.96,24.04
13015,0.4975,19.9,20.1
13045,0.2976,11.9,28.1
13063,0.5632,22.53,17.47
13067,0.67,26.8,13.2
13077,0.388,15.52,24.48
13097,0.744,29.76,10.24
13113,0.3578,14.31,25.69
13115,0.5906,23.62,16.38
13121,0.5523,22.09,17.91
13139,0.6289,25.16,14.84
13169,0.1647,6.59,33.41
13207,0.7029,28.12,11.88
13215,0.7412,29.65,10.35
13217,0.6892,27.57,12.43
13247,0.7549,30.2,9.8
13255,0.7166,28.66,11.34
13285,0.3606,14.42,25.58
13289,0.2839,11.36,28.64
13313,0.7084,28.33,11.67
17063,0.44,17.6,22.4
17107,0.44,17.6,22.4
17119,0.44,17.6,22.4
17167,0.44,17.6,22.4
17197,0.44,17.6,22.4
18003,0.409,16.36,23.64
18011,0.3063,12.25,27.75
18019,0.4448,17.79,22.21
18023,0.2824,11.3,28.7
18031,0.2084,8.34,31.66
18085,0.2037,8.15,31.85
18089,0.292,11.68,28.32
18127,0.2323,9.29,30.71
18141,0.3373,13.49,26.51
18145,0.2,8.0,32.0
19001,0.4051,16.2,23.8
19049,0.4154,16.62,23.38
19121,0.4025,16.1,23.9
19153,0.4575,18.3,21.7
19155,0.3786,15.14,24.86
20121,0.44,17.6,22.4
20209,0.44,17.6,22.4
21091,0.4969,19.88,20.12
21111,0.5059,20.24,19.76
21167,0.3812,15.25,24.75
21185,0.4012,16.05,23.95
22037,0.5198,20.79,19.21
22083,0.4311,17.25,22.75
22125,0.5597,22.39,17.61
24017,0.4394,17.57,22.43
24021,0.3993,15.97,24.03
24031,0.4083,16.33,23.67
24033,0.3857,15.43,24.57
24510,0.4749,19.0,21.0
25013,0.44,17.6,22.4
26025,0.3977,15.91,24.09
26027,0.3554,14.21,25.79
26073,0.5098,20.39,19.61
26079,0.2273,9.09,30.91
26081,0.3829,15.31,24.69
26093,0.2273,9.09,30.91
26125,0.385,15.4,24.6
26161,0.258,10.32,29.68
26163,0.3405,13.62,26.38
27025,0.3967,15.87,24.13
27049,0.3779,15.12,24.88
27101,0.407,16.28,23.72
27137,0.375,15.0,25.0
28089,0.4744,18.97,21.03
28121,0.5453,21.81,18.19
29037,0.3382,13.53,26.47
29047,0.4342,17.37,22.63
29095,0.4967,19.87,20.13
29097,0.4735,18.94,21.06
29139,0.3193,12.77,27.23
30013,0.44,17.6,22.4
30093,0.44,17.6,22.4
30111,0.44,17.6,22.4
31055,0.44,17.6,22.4
32003,0.5124,20.5,19.5
32019,0.4762,19.05,20.95
32029,0.4581,18.32,21.68
34011,0.44,17.6,22.4
35005,0.44,17.6,22.4
35025,0.44,17.6,22.4
36027,0.4575,18.3,21.7
36029,0.4138,16.55,23.45
36037,0.3309,13.24,26.76
36063,0.5098,20.39,19.61
36067,0.5637,22.55,17.45
36089,0.3323,13.29,26.71
36103,0.392,15.68,24.32
36109,0.5549,22.2,17.8
36119,0.4633,18.53,21.47
37065,0.4439,17.76,22.24
37119,0.4626,18.51,21.49
37157,0.5066,20.26,19.74
37183,0.44,17.6,22.4
38017,0.5934,23.74,16.26
38021,0.5279,21.12,18.88
38093,0.5676,22.7,17.3
38105,0.4279,17.12,22.88
39017,0.4003,16.01,23.99
39027,0.2667,10.67,29.33
39037,0.2866,11.46,28.54
39045,0.3383,13.53,26.47
39049,0.5831,23.32,16.68
39087,0.4258,17.03,22.97
39109,0.49,19.6,20.4
39129,0.2667,10.67,29.33
39153,0.5245,20.98,19.02
39155,0.3279,13.12,26.88
40097,0.5037,20.15,19.85
40113,0.4284,17.13,22.87
41013,0.4056,16.23,23.77
41049,0.3292,13.17,26.83
41067,0.5353,21.41,18.59
42003,0.4866,19.46,20.54
42007,0.407,16.28,23.72
42011,0.4575,18.3,21.7
42015,0.2751,11.01,28.99
42017,0.4109,16.44,23.56
42025,0.2596,10.38,29.62
42029,0.245,9.8,30.2
42041,0.2984,11.94,28.06
42059,0.245,9.8,30.2
42063,0.2809,11.24,28.76
42069,0.3159,12.63,27.37
42071,0.2906,11.63,28.37
42077,0.5292,21.17,18.83
42079,0.245,9.8,30.2
42091,0.245,9.8,30.2
42107,0.3217,12.87,27.13
42125,0.3003,12.01,27.99
42129,0.4361,17.44,22.56
42133,0.245,9.8,30.2
45003,0.5664,22.65,17.35
45021,0.5508,22.03,17.97
45029,0.5065,20.26,19.74
45083,0.4777,19.11,20.89
46039,0.3766,15.07,24.93
46099,0.4962,19.85,20.15
47125,0.5092,20.37,19.63
47157,0.4639,18.56,21.44
48005,0.6854,27.41,12.59
48011,0.628,25.12,14.88
48015,0.4655,18.62,21.38
48027,0.8096,32.39,7.61
48035,0.4735,18.94,21.06
48039,0.6567,26.27,13.73
48041,0.1819,7.28,32.72
48055,0.6822,27.29,12.71
48061,0.6439,25.76,14.24
48065,0.1851,7.4,32.6
48075,0.6886,27.54,12.46
48085,0.6503,26.01,13.99
48113,0.8001,32.0,8.0
48121,0.577,23.08,16.92
48125,0.5037,20.15,19.85
48135,0.7332,29.33,10.67
48139,0.5197,20.79,19.21
48151,0.338,13.52,26.48
48161,0.4735,18.94,21.06
48189,0.6392,25.57,14.43
48201,0.7778,31.11,8.89
48209,0.7268,29.07,10.93
48217,0.3285,13.14,26.86
48221,0.6662,26.65,13.35
48223,0.4974,19.89,20.11
48309,0.3954,15.82,24.18
48325,0.6344,25.38,14.62
48331,0.5005,20.02,19.98
48335,0.4862,19.45,20.55
48349,0.6232,24.93,15.07
48355,0.5675,22.7,17.3
48371,0.3317,13.27,26.73
48417,0.6981,27.92,12.08
48441,0.2966,11.86,28.14
48451,0.4209,16.84,23.16
48453,0.4432,17.73,22.27
48469,0.5101,20.4,19.6
48475,0.7364,29.45,10.55
48487,0.6392,25.57,14.43
48489,0.7491,29.96,10.04
48491,0.4304,17.22,22.78
49027,0.44,17.6,22.4
49035,0.44,17.6,22.4
51011,0.4746,18.98,21.02
51033,0.6907,27.63,12.37
51041,0.631,25.24,14.76
51047,0.471,18.84,21.16
51061,0.3732,14.93,25.07
51075,0.3087,12.35,27.65
51085,0.2251,9.01,30.99
51087,0.5952,23.81,16.19
51107,0.6462,25.85,14.15
51143,0.3409,13.64,26.36
51145,0.5665,22.66,17.34
51153,0.3231,12.92,27.08
51177,0.6883,27.53,12.47
51179,0.5999,24.0,16.0
53005,0.44,17.6,22.4
54053,0.44,17.6,22.4
54059,0.44,17.6,22.4
54093,0.44,17.6,22.4
55025,0.2616,10.46,29.54
55027,0.245,9.8,30.2
55059,0.5312,21.25,18.75
55061,0.245,9.8,30.2
55089,0.2926,11.7,28.3
55101,0.5137,20.55,19.45
55105,0.3702,14.81,25.19
56021,0.4148,16.59,23.41
