fips,county,state,facility_count,total_mw,avg_project_mw,hyperscaler_share,binary_outcome,saturation_count,pushback_flag,state_incentive_score,dc_employment,dc_employment_growth,water_stress_decile,partisan_lean_r,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share,electricity_price,log_population,log_income,log_dc_employment,water_stress_x_density
01071,Jackson,AL,1,0.0,500.0,1.0,1.0,1,0,0.75,20,2.3333,3.0,0.8538432089837934,52618,48.81,46748,0.0604,0.1619,0.0123,13.3,10.870832550232782,10.752548144113725,3.044522437723423,0.14643
01073,Jefferson,AL,2,1500.0,750.0,0.0,,1,1,0.75,872,0.3997,6.0,0.4418769229732325,672265,604.81,63595,0.0539,0.3557,0.0055,13.3,13.418409374517273,11.0603058542686,6.771935555839602,3.6288599999999995
01101,Montgomery,AL,1,150.0,150.0,1.0,1.0,0,0,0.75,300,-0.3213,5.0,0.3410013986013986,228132,290.48,56707,0.0675,0.3368,0.0048,13.3,12.337684071197158,10.945670573237523,5.707110264748875,1.4524000000000001
01121,Talladega,AL,1,500.0,500.0,0.0,,0,0,0.75,24,5.0,4.0,0.6661642803315749,81105,110.07,52457,0.0838,0.166,0.0167,13.3,11.303512220104277,10.867768128408946,3.2188758248682006,0.44027999999999995
04005,Coconino,AZ,1,0.0,500.0,0.0,,0,1,0.75,73,23.3333,9.0,0.393566158105813,144705,7.77,67266,0.0697,0.3959,0.0152,13.16,11.88245937686013,11.116425053622645,4.304065093204169,0.06992999999999999
04013,Maricopa,AZ,13,3432.0,381.3333333333333,0.07692307692307693,1.0,9,1,0.75,11132,0.1655,10.0,0.511956746650957,4430871,481.52,80675,0.0476,0.3498,0.0056,13.16,15.30410696238004,11.298196412257036,9.317668949728708,4.8152
04019,Pima,AZ,1,750.0,750.0,0.0,,0,1,0.75,417,0.7821,10.0,0.4183145743370695,1042393,113.44,64323,0.0587,0.3498,0.0101,13.16,13.857030548828394,11.071688090973915,6.035481432524756,1.1344
04021,Pinal,AZ,1,3000.0,3000.0,0.0,,0,0,0.75,34,7.5,10.0,0.6057016874093304,433338,80.76,73313,0.0644,0.214,0.0256,13.16,12.97927561060123,11.202506865544578,3.5553480614894135,0.8076
05035,Crittenden,AR,1,0.0,500.0,1.0,1.0,0,0,0.5,7,-0.5882,9.0,0.4787139840610313,47945,78.23,51860,0.1044,0.1763,0.0261,11.36,10.777830656602518,10.856322341590896,2.0794415416798357,0.7040700000000001
05071,Johnson,AR,1,0.0,500.0,0.0,,0,1,0.5,0,0.0,1.0,0.7468815542554366,25925,39.22,42470,0.0476,0.1504,0.0476,11.36,10.163001605159987,10.656576769062607,0.0,0.03922
05119,Pulaski,AR,1,150.0,150.0,0.0,,0,1,0.5,682,0.5787,5.0,0.3766599100854967,398322,525.28,58326,0.0525,0.3704,0.0044,11.36,12.89501851292056,10.973820386914666,6.52649485957079,2.6264
06025,Imperial,CA,1,330.0,330.0,0.0,,0,1,0.25,0,0.0,10.0,0.4913651087459509,179578,43.01,53847,0.132,0.1592,0.0976,27.44,12.098370501510459,10.89392054169055,0.0,0.4301
