total_built,cumulative_gw,gini_coefficient,community_surplus_m,firm_cost_m,total_rejected,infeasible_rate
364,109.19999999999932,0.9293678094819864,3102513.9599999813,14791.152722665523,14,0.12093023255813953
354,106.19999999999935,0.9239572750192175,3017280.059999982,11595.532266978695,15,0.1
349,104.69999999999936,0.923884743415331,2974663.1099999826,13202.212126208547,13,0.1360381861575179
348,104.39999999999937,0.9274126812267827,2966139.719999982,11152.574207201833,12,0.12832929782082325
345,103.49999999999937,0.9280914886673377,2940569.549999983,11826.43412651822,10,0.11027568922305764
358,107.39999999999934,0.9219099660339447,3051373.6199999806,10191.47277393656,24,0.12385321100917432
347,104.09999999999937,0.9234515227709579,2957616.3299999824,10981.678788911498,15,0.11056511056511056
368,110.39999999999931,0.9184265502833739,3136607.519999981,9744.341704666069,11,0.08454106280193237
357,107.09999999999934,0.9275679824736744,3042850.2299999814,11561.33275303188,12,0.10869565217391304
364,109.19999999999932,0.930995423859363,3102513.9599999813,9592.306279609025,12,0.11943793911007025
354,106.19999999999935,0.918078200117904,3017280.059999982,10184.653733268357,10,0.1554524361948956
356,106.79999999999934,0.9258366385500523,3034326.8399999817,9508.634143282296,10,0.13270142180094788
384,115.19999999999926,0.9223573448567501,3272981.7599999793,9976.810827436939,20,0.10421286031042129
370,110.9999999999993,0.9232717017683716,3153654.2999999803,11817.01723955637,15,0.081145584725537
370,110.9999999999993,0.9290422677672916,3153654.2999999803,13908.860048122071,15,0.1087962962962963
345,103.49999999999937,0.9240337015127069,2940569.549999983,9879.726029613472,19,0.10344827586206896
384,115.19999999999926,0.9209152658843429,3272981.7599999793,13153.214043656666,9,0.10884353741496598
382,114.59999999999927,0.9230700255553175,3255934.979999979,13221.83858080719,9,0.10321100917431193
368,110.39999999999931,0.9240630041782154,3136607.519999981,19246.458937599007,13,0.11395348837209303
354,106.19999999999935,0.9237315013412031,3017280.059999982,9722.57055619918,15,0.10436893203883495
363,108.89999999999932,0.9287984070442334,3093990.5699999807,12518.339496442952,17,0.11214953271028037
365,109.49999999999932,0.9241713697326746,3111037.349999981,11673.425579600793,13,0.09569377990430622
344,103.19999999999938,0.9256983013593549,2932046.1599999825,9108.412896272936,15,0.11576354679802955
346,103.79999999999937,0.9273414254522254,2949092.939999982,12430.416714079092,12,0.12895377128953772
363,108.89999999999932,0.9189079620703182,3093990.5699999807,11553.077392703013,15,0.11682242990654206
366,109.79999999999932,0.9152875481586622,3119560.7399999807,10312.528132182393,10,0.07616707616707617
361,108.29999999999933,0.9282686409548835,3076943.789999981,9745.993802643326,15,0.10900473933649289
357,107.09999999999934,0.9279055739009845,3042850.2299999814,10609.034557543158,15,0.10144927536231885
374,112.19999999999929,0.921938362751034,3187747.85999998,11782.275127589974,8,0.08173076923076923
346,103.79999999999937,0.9300858527249027,2949092.939999982,10165.049671025145,14,0.11330049261083744
371,111.2999999999993,0.9211130801709406,3162177.68999998,8473.748449845507,17,0.11212814645308924
354,106.19999999999935,0.9252868311230806,3017280.059999982,11612.102535951728,15,0.12351543942992874
357,107.09999999999934,0.9194124843086615,3042850.2299999814,11187.12652938216,11,0.14418604651162792
362,108.59999999999933,0.9259339084236182,3085467.179999981,11687.825025572498,15,0.12121212121212122
355,106.49999999999935,0.9295595967176353,3025803.449999981,12589.585702403776,14,0.11298076923076923
363,108.89999999999932,0.9232852703140739,3093990.5699999807,9708.691214223234,10,0.11190476190476191
351,105.29999999999936,0.9246943398545047,2991709.889999982,10140.01659298547,15,0.10948905109489052
343,102.89999999999938,0.9295769959472167,2923522.769999983,11673.849665738791,8,0.11809045226130653
362,108.59999999999933,0.9213394942639912,3085467.179999981,10570.017444370558,8,0.11057692307692307
350,104.99999999999936,0.9243731593493725,2983186.499999982,10586.580299064939,12,0.11491442542787286
364,109.19999999999932,0.9213499789142034,3102513.9599999813,10191.394257378623,15,0.12873563218390804
374,112.19999999999929,0.9205560954595486,3187747.85999998,11443.388354415536,6,0.107981220657277
356,106.79999999999934,0.9268380033996515,3034326.8399999817,11200.24661199017,12,0.11750599520383694
363,108.89999999999932,0.9232013937489243,3093990.5699999807,10007.705299855663,12,0.0963855421686747
364,109.19999999999932,0.9194069489026673,3102513.9599999813,11359.444265771483,21,0.12300683371298406
336,100.7999999999994,0.9221395345324936,2863859.039999983,11641.592729186685,11,0.13032581453634084
349,104.69999999999936,0.9267546167428664,2974663.1099999826,10457.211382336778,13,0.11491442542787286
343,102.89999999999938,0.9213567716062909,2923522.769999983,11422.683531647752,13,0.12315270935960591
354,106.19999999999935,0.924466161722044,3017280.059999982,10631.80068985406,20,0.09879518072289156
362,108.59999999999933,0.9247458791329137,3085467.179999981,11538.917900708042,10,0.10361445783132531
361,108.29999999999933,0.9305159839857042,3076943.789999981,12485.162803308707,13,0.13625866050808313
377,113.09999999999928,0.917056804979637,3213318.0299999793,11201.217106013672,19,0.1
362,108.59999999999933,0.9268082839635321,3085467.179999981,11099.992582710971,14,0.10476190476190476
363,108.89999999999932,0.9221529366845516,3093990.5699999807,10659.454412110015,10,0.10551558752997602
358,107.39999999999934,0.9240042736632843,3051373.6199999806,14537.128991885367,15,0.09903381642512077
365,109.49999999999932,0.9270405658450964,3111037.349999981,11175.683627620521,11,0.1111111111111111
368,110.39999999999931,0.9287083385043919,3136607.519999981,12337.765147047052,16,0.09859154929577464
375,112.49999999999929,0.9166837932128131,3196271.24999998,12932.269752151567,10,0.11290322580645161
359,107.69999999999933,0.9280174428209593,3059897.0099999807,16014.036236632608,12,0.09951456310679611
362,108.59999999999933,0.9217530265834695,3085467.179999981,10317.324228257365,9,0.12293144208037825
353,105.89999999999935,0.9300248245971057,3008756.669999982,11419.36327069398,9,0.11707317073170732
